종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"399720","가온칩스","KOSDAQ","벤처기업부","19950","400","2.05","20200","20550","19900","387611","7808973650","229191984000","11488320"
"036620","감성코퍼레이션","KOSDAQ","중견기업부","1630","10","0.62","1655","1665","1605","217663","355481580","146037530510","89593577"
"000860","강남제비스코","KOSPI",,"20800","400","1.96","20550","21000","20550","4698","97976050","135200000000","6500000"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","2700","185","7.36","2600","2705","2555","117157","308986590","102432397500","37937925"
"035250","강원랜드","KOSPI",,"23700","550","2.38","23400","23750","23300","337649","7958604200","5070389850000","213940500"
"114190","강원에너지","KOSDAQ","중견기업부","7050","150","2.17","7190","7340","6830","1694901","12009858400","184167417900","26123038"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부","4785","375","8.50","4470","4835","4470","180210","846042890","187714774830","39229838"
"011420","갤럭시아에스엠","KOSPI",,"1800","85","4.96","1725","1895","1725","146545","263659900","49589359200","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3015","135","4.69","2935","3040","2935","248819","745868125","81343506060","26979604"
"053950","경남제약","KOSDAQ","중견기업부","1880","145","8.36","1750","1900","1750","201001","369745765","57997182200","30849565"
"002100","경농","KOSPI",,"8740","200","2.34","8660","8820","8660","13008","113908780","170627305500","19522575"
"009450","경동나비엔","KOSPI",,"33550","350","1.05","33600","33900","33400","33511","1126945300","488776261600","14568592"
"267290","경동도시가스","KOSPI",,"20050","100","0.50","20250","20650","19950","34022","686746850","118202890300","5895406"
"012320","경동인베스트","KOSPI",,"29000","800","2.84","28600","29100","28400","11797","339139750","68585667000","2365023"
"011040","경동제약","KOSDAQ","우량기업부","7020","170","2.48","6900","7540","6900","845404","6015338970","215996737320","30768766"
"000050","경방","KOSPI",,"10800","400","3.85","10600","10850","10500","5649","59907200","296084916000","27415270"
"214390","경보제약","KOSPI",,"5100","195","3.98","4970","5160","4970","13630","68902180","121924986000","23906860"
"012610","경인양행","KOSPI",,"4570","115","2.58","4600","4600","4505","105472","479828435","190186788050","41616365"
"009140","경인전자","KOSPI",,"25000","-450","-1.77","25350","25350","24100","12950","317468250","39269925000","1570797"
"024910","경창산업","KOSDAQ","중견기업부","1955","65","3.44","1910","1965","1910","31398","61250310","70026154775","35819005"
"013580","계룡건설","KOSPI",,"17600","1150","6.99","17000","17700","16750","45871","794843550","157183963200","8930907"
"012200","계양전기","KOSPI",,"2605","55","2.16","2570","2640","2570","62407","162447815","84923000000","32600000"
"012205","계양전기우","KOSPI",,"4980","-90","-1.78","5120","5180","4925","3774","18760195","6972000000","1400000"
"002140","고려산업","KOSPI",,"5260","120","2.33","5150","5400","5150","1260811","6652857860","131181375500","24939425"
"198440","고려시멘트","KOSDAQ","우량기업부","2595","15","0.58","2605","2715","2580","991343","2614622975","82987996200","31979960"
"049720","고려신용정보","KOSDAQ","우량기업부","12600","250","2.02","11950","12750","11850","844349","10409357300","180180000000","14300000"
"010130","고려아연","KOSPI",,"613000","9000","1.49","607000","622000","603000","51910","31806549000","12176115854000","19863158"
